id,section_name,web_url,pub_date,headline,trail_text,period,happiness
world/2013/jun/26/kevin-rudd-julia-gillard-labor,World news,https://www.theguardian.com/world/2013/jun/26/kevin-rudd-julia-gillard-labor,2013-06-26T22:07:00Z,Politics as it happened - Kevin Rudd's return - politics live blog,"<p>Kevin Rudd to be sworn in as prime minister, all the fallout from Labor's leadership change</p>",2010-2013,5.378839045397452
politics/audio/2013/sep/26/politics-weekly-podcast-labour-conference,Politics,https://www.theguardian.com/politics/audio/2013/sep/26/politics-weekly-podcast-labour-conference,2013-09-26T16:08:32Z,Politics Weekly podcast: Labour party conference 2013,"<p>Michael White, Heather Stewart and Mark Ferguson join Hugh Muir to discuss Ed Miliband's various pledges</p>",2010-2013,5.425238095238096
politics/2013/nov/29/prescott-blair-straw-next-generation-uk-politics,Politics,https://www.theguardian.com/politics/2013/nov/29/prescott-blair-straw-next-generation-uk-politics,2013-11-29T19:58:18Z,"Prescott, Blair, Straw – the next generation of UK politics?",David Prescott is one of many with familiar surnames hoping to make it into parliament. Emine Saner looks at our Westminster dynasties and what they say about politics today,2010-2013,5.378545454545455
commentisfree/2013/oct/08/modern-politics-show-business-for-ugly-people,Opinion,https://www.theguardian.com/commentisfree/2013/oct/08/modern-politics-show-business-for-ugly-people,2013-10-07T23:35:02Z,Modern politics: show business for ugly people,"<strong>Jonathan Green:</strong> Our politicians take what we think, feel and fear, and then turn that to their own advantage. Australia's most basic needs shouldn't be so cynically treated &ndash; we need and deserve better",2010-2013,5.359625360230547
politics/2013/oct/07/government-and-labour-reshuffle-politics-live-blog,Politics,https://www.theguardian.com/politics/2013/oct/07/government-and-labour-reshuffle-politics-live-blog,2013-10-07T18:14:49Z,Government and Labour reshuffle: Politics live blog,<strong>Andrew Sparrow'</strong>s rolling coverage of the government and Labour party reshuffles expected today,2010-2013,5.393702868192072
commentisfree/2013/oct/22/republicans-democrats-bipartisan-consensus-capitalism,Opinion,https://www.theguardian.com/commentisfree/2013/oct/22/republicans-democrats-bipartisan-consensus-capitalism,2013-10-22T12:30:00Z,US politics' true bipartisan consensus: capitalism is untouchable,<p><strong>Richard Wolff:</strong> Democrats like moderate Keynesianism. Republicans favour free markets unfettered. The crisis-ridden system is never challenged</p>,2010-2013,5.299385749385749
politics/2013/nov/03/david-miliband-labour-unions-old-politics,Politics,https://www.theguardian.com/politics/2013/nov/03/david-miliband-labour-unions-old-politics,2013-11-03T12:56:15Z,David Miliband: no place for unions' old politics,"Former foreign secretary says brother right to change way unions fund Labour party, as fresh Falkirk allegations emerge",2010-2013,5.32155601659751
politics/blog/2013/sep/02/syria-mps-politics-live-blog1,Politics,https://www.theguardian.com/politics/blog/2013/sep/02/syria-mps-politics-live-blog1,2013-09-02T08:14:00Z,Syria controversy continues: Politics live blog,"<p>Andrew Sparrow's rolling coverage of all the day's political developments as they happening, including defence questions in the Commons and the continuing debate about Syria policy</p>",2010-2013,5.286001578843496
politics/2013/oct/19/snp-conference-alex-salmonds-speech-politics-live-blog,Politics,https://www.theguardian.com/politics/2013/oct/19/snp-conference-alex-salmonds-speech-politics-live-blog,2013-10-19T16:18:39Z,SNP conference - Alex Salmond's speech: Politics live blog,"<strong>Andrew Sparrow</strong>'s rolling coverage of the SNP conference in Perth, including a keynote speech from Alex Salmond, the SNP leader and Scotland's first minister",2010-2013,5.430607559614409
politics/2013/oct/04/politics-live-readers-edition,Politics,https://www.theguardian.com/politics/2013/oct/04/politics-live-readers-edition,2013-10-04T10:24:26Z,Politics live: readers' edition - Friday 4 October,"<p>Share breaking news, leave links to interesting articles online and chat about the day's political events in our open thread</p>",2010-2013,5.53812865497076
politics/2013/nov/19/jeremy-hunts-statement-on-hospital-staffing-politics-live-blog,Politics,https://www.theguardian.com/politics/2013/nov/19/jeremy-hunts-statement-on-hospital-staffing-politics-live-blog,2013-11-19T16:30:06Z,Jeremy Hunt's statement on hospital staffing: Politics live blog,"<strong>Andrew Sparrow</strong>'s rolling coverage of all the day's political developments as they happen, including Jeremy Hunt's Commons statement on hospital staffing levels and the government's final response to the Francis report on the Mid Staffs scandal",2010-2013,5.337964851911023
politics/blog/2013/sep/19/politics-live-readers-edition,Politics,https://www.theguardian.com/politics/blog/2013/sep/19/politics-live-readers-edition,2013-09-19T08:48:20Z,Politics live: readers' edition - Thursday 19 September,"<p>Share breaking news, leave links to interesting articles online and chat about the day's political events in our open thread</p>",2010-2013,5.535321637426901
politics/2013/dec/26/chloe-smith-politics,Politics,https://www.theguardian.com/politics/2013/dec/26/chloe-smith-politics,2013-12-26T20:37:00Z,Tory MP Chloe Smith: we have to show why politics matters,Smith says it is in the interests of all democrats for young people to vote and be interested in politics,2010-2013,5.342071111111111
politics/audio/2013/nov/21/politics-weekly-podcast-cambridge-david-runciman-democracy,Politics,https://www.theguardian.com/politics/audio/2013/nov/21/politics-weekly-podcast-cambridge-david-runciman-democracy,2013-11-21T11:16:00Z,Politics Weekly podcast: David Runciman on democracy in crisis,<p>Cambridge political scientist David Runciman says the survival of liberal democracy is not inevitable. He joins Anne Perkins to discuss his new book The Confidence Trap</p>,2010-2013,5.312275449101797
politics/audio/2013/nov/14/politics-weekly-podcast-douglas-alexander-labour-foreign-policy,Politics,https://www.theguardian.com/politics/audio/2013/nov/14/politics-weekly-podcast-douglas-alexander-labour-foreign-policy,2013-11-14T13:49:47Z,Politics Weekly podcast: Douglas Alexander on Labour's foreign policy,"<p>Labour's shadow foreign secretary Douglas Alexander discusses his party's crucial intervention in the parliamentary debate on Syria, Britain's future relations with the European Union, the emerging power dominance of China and his role as Labour's election co-ordinator</p>",2010-2013,5.334736842105263
world/2013/nov/19/obama-healthcare-rebranding-partisan-politics,World news,https://www.theguardian.com/world/2013/nov/19/obama-healthcare-rebranding-partisan-politics,2013-11-19T23:13:02Z,Obama: rebranding healthcare will be difficult given partisan politics,"President conceded that government-run IT is inefficient, but said glitches hard to fix when 'one side of Capital Hill invested in failure'",2010-2013,5.355697674418605
politics/2013/oct/23/mps-question-police-over-plebgate-politics-live-blog,Politics,https://www.theguardian.com/politics/2013/oct/23/mps-question-police-over-plebgate-politics-live-blog,2013-10-23T18:10:36Z,MPs question police over Plebgate: Politics live blog,"Rolling coverage of all the day's political developments as they happen, including the Commons home affairs committee taking evidence from the Police Federation and chief constables over Plebgate and David Cameron and Ed Miliband at PMQs",2010-2013,5.287089356110381
politics/2013/nov/05/plebgate-mps-demand-apology-from-officers-politics-live-blog,Politics,https://www.theguardian.com/politics/2013/nov/05/plebgate-mps-demand-apology-from-officers-politics-live-blog,2013-11-05T17:08:07Z,Plebgate - MPs demand apology from officers: Politics live blog,Andrew Sparrow's rolling coverage of all the day's political developments as they happen,2010-2013,5.287379421221865
world/2013/jun/20/asylum-detention-indoneisa,World news,https://www.theguardian.com/world/2013/jun/20/asylum-detention-indoneisa,2013-06-20T00:31:00Z,"Politics as it happened: Asylum, detention and Indonesia - politics live blog","<p>Julia Gillard to go to Indonesia, a debate on asylum, and more Labor leadership rumbling - all the action from the day in parliament</p>",2010-2013,5.335461008664741
politics/audio/2013/sep/19/politics-weekly-podcast-nick-clegg,Politics,https://www.theguardian.com/politics/audio/2013/sep/19/politics-weekly-podcast-nick-clegg,2013-09-19T15:07:56Z,Politics Weekly podcast: Nick Clegg's conference speech,"<p>Martin Kettle, Michael White and Patrick Diamond join Hugh Muir to discuss the Lib Dem conference, Miliband's personal ratings problem, the German elections and whether David Cameron was right to back fans of Spurs using the word 'Yid'</p>",2010-2013,5.426086956521739
